Ticker:,The earliest date of MD&A,The latest date of MD&A,Number of MD&A,The earliest date of price,The latest date of price,Average daily trading volume in USD,Average daily trading volume in USD for 180 days starting 2 years ago
VICI,2017-11-13,2017-11-13,1,2017-10-18,2020-07-10,749405.958,451733.476
BXP,2008-05-12,2019-11-08,36,2005-07-15,2020-07-10,743828.525,236758.714
ETSY,2015-05-21,2019-10-31,15,2015-04-16,2020-07-10,743235.986,210135.946
MHK,2010-05-03,2012-05-04,6,2005-07-15,2020-07-10,735860.001,309023.573
HTZ,2016-08-08,2016-11-07,2,2016-06-20,2020-07-10,735631.498,656819.644
HOLX,2008-08-07,2019-07-31,18,2005-07-15,2020-07-10,732103.881,252450.591
ARCH,2008-05-09,2019-10-22,32,2005-07-15,2020-07-10,730399.192,1079246.123
MLM,2008-05-06,2018-05-08,30,2005-07-15,2020-07-10,726649.586,330379.169
VNO,2008-08-05,2019-10-28,35,2005-07-15,2020-07-10,721256.032,392598.914
HSY,2012-05-09,2019-10-24,24,2005-07-15,2020-07-10,718171.868,356380.538
WPX,2012-11-01,2018-11-01,19,2011-12-12,2020-07-10,715889.367,416204.161
CREE,2010-01-20,2019-10-31,29,2005-07-15,2020-07-10,715459.247,296424.294
LNG,2010-08-05,2019-10-31,29,2005-07-15,2020-07-10,713482.591,265931.683
TAP,2008-05-06,2019-10-30,36,2005-07-15,2020-07-10,713402.723,216625.086
IVZ,2009-05-08,2019-10-23,34,2007-05-24,2020-07-10,713217.005,326942.705
DVA,2011-08-04,2019-11-06,22,2005-07-15,2020-07-10,713024.32,281049.163
HAS,2016-05-04,2019-10-22,12,2010-12-21,2020-07-10,711896.138,505667.425
DGX,2008-04-24,2019-10-23,36,2005-07-15,2020-07-10,707857.359,371059.567
ATI,2008-05-09,2013-05-06,13,2005-07-15,2020-07-10,704577.743,510515.465
BG,2008-11-10,2019-10-30,28,2005-07-15,2020-07-10,701472.608,390094.631
ESTC,2018-12-12,2019-12-09,4,2018-10-05,2020-07-10,691897.206,430515.891
ENDP,2014-05-09,2019-11-04,18,2005-07-15,2020-07-10,691255.901,331545.088
JBLU,2008-04-25,2019-10-25,34,2005-07-15,2020-07-10,685405.637,419119.977
DOV,2008-04-23,2019-10-17,34,2005-07-15,2020-07-10,682417.562,238953.712
GPN,2009-04-06,2019-10-31,30,2005-07-15,2020-07-10,674796.51,290731.308
MUR,2010-11-05,2019-10-31,28,2005-07-15,2020-07-10,673774.168,472807.473
INVH,2017-05-12,2019-10-30,9,2017-02-01,2020-07-10,671718.301,297149.255
MTCH,2016-05-10,2019-11-07,12,2005-07-15,2020-07-10,671670.621,731334.611
TTWO,2008-03-11,2019-11-07,36,2005-07-15,2020-07-10,670527.664,344363.603
PTEN,2008-05-05,2019-04-29,28,2005-07-15,2020-07-10,669499.941,748309.61
LW,2017-01-10,2019-10-02,9,2016-11-01,2020-07-10,667757.833,472425.546
HRI,2008-05-09,2019-10-23,34,2006-11-16,2020-07-10,660867.674,318339.643
KBH,2008-04-09,2011-04-11,10,2005-07-15,2020-07-10,652815.083,1324601.798
CBRE,2008-05-12,2009-11-09,6,2005-07-15,2020-07-10,647020.531,271497.883
GH,2018-11-19,2019-11-07,4,2018-10-04,2020-07-10,643191.977,522002.761
EXPD,2011-08-05,2019-05-08,24,2005-07-15,2020-07-10,629717.717,426769.448
GRPN,2012-05-14,2019-11-04,25,2011-11-07,2020-07-10,627112.383,542458.45
EQH,2018-06-19,2019-11-07,6,2018-05-10,2020-07-10,625436.046,508641.774
EMN,2008-04-29,2019-11-01,36,2005-07-15,2020-07-10,623410.412,252846.003
LHX,2008-02-05,2019-10-31,36,2005-07-15,2020-07-10,618128.891,219427.514
KEYS,2015-03-05,2019-08-30,15,2014-10-20,2020-07-10,610890.988,396306.13
GRMN,2018-08-01,2019-05-01,3,2005-07-15,2020-07-10,608039.747,394309.203
TDC,2011-05-06,2019-11-12,27,2007-09-12,2020-07-10,602904.029,331262.052
AEO,2009-06-04,2019-06-06,11,2007-03-08,2020-07-10,596615.778,602448.908
STLD,2008-05-07,2019-10-31,22,2005-07-15,2020-07-10,596496.02,249684.202
WAT,2008-05-02,2019-10-30,24,2005-07-15,2020-07-10,595590.247,292073.228
VOYA,2013-05-23,2019-11-06,21,2013-05-02,2020-07-10,594597.109,373235.227
AES,2008-05-08,2019-11-05,36,2005-07-15,2020-07-10,594269.768,252545.659
VAR,2009-05-12,2019-08-07,21,2005-07-15,2020-07-10,590571.147,447530.786
AR,2014-05-07,2019-10-29,18,2013-10-10,2020-07-10,590303.623,619316.898
GME,2010-06-09,2011-06-08,4,2005-07-15,2020-07-10,588936.685,298105.688
HP,2008-02-06,2019-07-26,30,2005-07-15,2020-07-10,580831.506,264668.797
HDS,2013-09-09,2019-12-09,20,2013-06-27,2020-07-10,578856.169,312191.41
USFD,2016-08-09,2019-08-06,9,2016-05-26,2020-07-10,575906.168,260778.979
IPG,2008-07-30,2019-10-25,35,2005-07-15,2020-07-10,573065.373,269123.929
GNW,2008-04-29,2019-07-31,12,2005-07-15,2020-07-10,572416.803,608536.295
DKS,2008-05-22,2019-11-26,36,2005-07-15,2020-07-10,571644.578,207956.349
JBHT,2008-04-30,2009-10-28,6,2005-07-15,2020-07-10,563259.423,270922.905
L,2009-11-02,2019-10-28,31,2005-07-15,2020-07-10,563193.238,462092.401
QRTEA,2008-05-08,2019-11-12,27,2006-05-04,2020-07-10,562173.667,508449.757
AXTA,2014-11-14,2019-10-25,16,2014-11-12,2020-07-10,561198.182,421387.827
TEX,2011-04-28,2017-11-01,21,2005-07-15,2020-07-10,554315.321,282966.455
LM,2012-08-07,2019-11-08,23,2005-07-15,2020-07-10,553614.674,813745.013
ATH,2017-05-11,2019-11-05,9,2016-12-09,2020-07-10,553068.677,590724.028
TER,2008-05-08,2008-11-07,3,2005-07-15,2020-07-10,544979.839,418734.628
NDAQ,2009-05-08,2019-11-06,29,2005-07-15,2020-07-10,544589.84,392434.694
VRSK,2009-11-16,2019-04-30,11,2009-10-07,2020-07-10,536771.577,332545.468
EFX,2008-04-29,2019-10-24,25,2005-07-15,2020-07-10,531724.752,208635.941
UHS,2015-11-06,2019-05-08,10,2005-07-15,2020-07-10,531083.328,313870.444
DNR,2008-05-06,2019-11-07,36,2005-07-15,2020-07-10,529206.96,218986.163
CIT,2011-05-10,2019-11-01,13,2009-12-11,2020-07-10,528609.29,722171.161
CDNS,2010-08-04,2019-10-21,29,2005-07-15,2020-07-10,523007.99,273780.027
VIAV,2010-11-12,2019-11-05,31,2006-10-17,2020-07-10,518220.558,834070.654
WSM,2008-06-11,2019-12-12,36,2005-07-15,2020-07-10,515535.403,251682.964
AMG,2008-05-07,2013-05-07,16,2005-07-15,2020-07-10,513564.208,339352.702
AVLR,2018-08-09,2019-11-05,5,2018-06-15,2020-07-10,510750.29,247805.909
CC,2015-08-06,2018-11-02,12,2015-06-19,2020-07-10,502581.365,218790.408
THC,2008-05-06,2019-11-04,36,2005-07-15,2020-07-10,493858.917,262149.862
IAA,2019-08-13,2019-11-25,3,2019-06-17,2020-07-10,493497.312,466818.661
TPX,2013-11-08,2019-11-07,19,2005-07-15,2020-07-10,489945.098,238659.84
BJ,2018-09-07,2019-11-27,5,2018-06-28,2020-07-10,487310.37,417108.275
UTHR,2008-05-01,2019-10-30,34,2005-07-15,2020-07-10,484744.961,317769.341
DNKN,2012-08-03,2019-11-06,23,2011-07-27,2020-07-10,483098.887,306417.609
COO,2008-03-07,2019-08-30,36,2005-07-15,2020-07-10,477397.194,445970.56
ACIA,2016-08-11,2019-10-30,10,2016-05-13,2020-07-10,471923.744,1136217.04
UNM,2008-05-02,2019-10-30,30,2005-07-15,2020-07-10,469898.427,272176.517
ASH,2017-01-27,2018-08-01,6,2005-07-15,2020-07-10,460770.538,294020.906
IR,2017-08-04,2019-10-30,7,2017-05-12,2020-07-10,459523.316,215441.102
PK,2017-05-04,2019-05-06,7,2016-12-13,2020-07-10,459110.64,401977.18
CDAY,2018-05-24,2019-11-07,6,2018-04-26,2020-07-10,457998.981,238088.467
KNX,2012-11-07,2019-11-06,22,2010-12-16,2020-07-10,455978.676,232387.312
MTG,2008-08-11,2019-11-06,15,2005-07-15,2020-07-10,452101.62,435325.636
ALLE,2014-04-30,2019-10-24,18,2013-11-18,2020-07-10,450329.011,426314.449
JBL,2008-07-08,2019-01-09,14,2005-07-15,2020-07-10,450120.127,362345.77
CTAS,2008-01-04,2019-10-08,32,2005-07-15,2020-07-10,444616.48,287069.217
CROX,2008-05-12,2019-10-30,34,2006-02-08,2020-07-10,444028.354,276285.814
TGNA,2008-04-30,2019-11-07,29,2005-07-15,2020-07-10,443701.666,486520.596
MBI,2009-08-06,2019-11-05,25,2005-07-15,2020-07-10,439359.33,525697.48
CCK,2008-05-09,2019-10-31,31,2005-07-15,2020-07-10,435784.279,218355.91
WH,2018-06-11,2019-10-29,6,2018-05-18,2020-07-10,432745.071,476661.974
CDK,2014-11-13,2019-11-05,16,2014-09-22,2020-07-10,432022.921,604026.101
SPR,2008-05-02,2019-10-31,36,2006-11-21,2020-07-10,431687.771,348781.508
BHF,2017-08-15,2019-11-05,8,2017-07-17,2020-07-10,431184.179,480018.458
SHAK,2015-05-15,2019-11-04,15,2015-01-30,2020-07-10,428215.695,496243.98
PBF,2013-05-09,2019-10-31,21,2012-12-13,2020-07-10,427708.021,235249.834
FOX,2019-05-10,2019-05-10,1,2019-03-13,2020-07-10,425952.28,478581.417
PNR,2008-04-22,2013-10-22,7,2005-07-15,2020-07-10,425809.218,201431.824
SFM,2013-08-23,2019-05-02,18,2013-08-01,2020-07-10,422805.756,314355.592
CLDR,2017-06-09,2019-12-06,9,2017-04-28,2020-07-10,415795.859,232281.221
SNPS,2008-03-11,2019-08-26,23,2005-07-15,2020-07-10,412964.338,214246.497
PSTG,2016-06-03,2019-12-09,12,2015-10-07,2020-07-10,406795.843,213777.899
TW,2019-05-20,2019-11-08,3,2019-04-04,2020-07-10,405266.501,371761.173
NWSA,2014-11-06,2019-11-08,12,2013-06-19,2020-07-10,404700.655,882365.637
ETRN,2018-12-03,2019-11-05,4,2018-10-31,2020-07-10,403733.151,367399.316
CYH,2008-05-02,2018-07-27,26,2005-07-15,2020-07-10,402198.897,267889.852
OI,2008-05-09,2019-10-29,31,2005-07-18,2020-07-10,398883.844,292265.903
FND,2017-05-25,2019-11-01,9,2017-04-27,2020-07-10,397746.823,229939.42
NCR,2009-10-30,2011-07-29,3,2005-07-15,2020-07-10,397090.002,448278.963
RE,2009-05-11,2009-08-10,2,2005-07-15,2020-07-10,393298.451,320639.081
EPC,2011-04-29,2019-08-06,26,2005-07-15,2020-07-10,390063.94,263177.153
RHI,2014-10-31,2019-11-12,16,2005-07-15,2020-07-10,386852.986,218603.845
AN,2008-04-24,2019-10-29,34,2005-07-15,2020-07-10,379453.7,218781.186
EAT,2008-01-31,2019-10-30,36,2005-07-15,2020-07-10,353105.714,201935.475
KBR,2008-05-02,2019-10-30,37,2006-11-16,2020-07-10,349957.857,525038.503
PENN,2008-05-12,2019-11-07,34,2005-07-15,2020-07-10,346275.237,254383.951
NAV,2009-03-11,2019-09-03,33,2005-07-15,2020-07-10,344258.784,212434.65
BOX,2015-06-12,2019-06-06,12,2015-01-23,2020-07-10,339082.922,232732.531
RDN,2011-05-10,2019-11-12,27,2005-07-15,2020-07-10,338021.556,298935.234
EXP,2008-02-05,2019-01-29,28,2005-07-15,2020-07-10,335915.6,293254.468
CDE,2008-05-12,2019-11-04,35,2005-07-18,2020-07-10,330118.529,251684.328
SYNA,2008-02-07,2018-11-08,27,2005-07-15,2020-07-10,329410.758,202726.278
DLPH,2018-05-09,2019-10-31,6,2017-11-21,2020-07-10,326033.471,517484.304
WCC,2008-05-12,2019-11-01,34,2005-07-15,2020-07-10,321460.585,219732.117
BC,2012-05-04,2019-10-30,24,2005-07-15,2020-07-10,316371.023,277331.78
OIS,2008-05-01,2019-10-28,16,2005-07-15,2020-07-10,316356.376,234403.594
SPWR,2009-05-08,2019-10-30,31,2008-09-22,2020-07-10,314844.315,313825.353
PLCE,2009-06-04,2019-12-11,5,2005-07-15,2020-07-10,310094.899,270587.903
NAVI,2014-05-09,2019-11-01,16,2014-04-17,2020-07-10,301068.303,338063.599
PS,2018-08-01,2019-10-30,5,2018-05-17,2020-07-10,299149.964,202350.239
CAKE,2008-04-24,2019-11-08,35,2005-07-15,2020-07-10,297618.757,203083.946
RMBS,2008-05-02,2019-11-08,33,2005-07-15,2020-07-10,297289.942,890271.397
HGV,2017-05-04,2017-05-04,1,2016-12-14,2020-07-10,296151.04,209767.609
CRL,2008-05-07,2019-11-06,36,2005-07-15,2020-07-10,293585.044,239726.612
RNR,2012-05-03,2015-11-05,12,2005-07-15,2020-07-10,293469.773,254466.91
NKTR,2008-05-08,2019-05-08,14,2005-07-15,2020-07-10,292359.777,276079.242
CVET,2019-05-15,2019-11-12,3,2019-02-05,2020-07-10,287872.196,378963.717
CHS,2008-05-28,2019-11-27,36,2005-07-15,2020-07-10,287430.7,597531.115
ACM,2008-02-13,2019-08-07,37,2007-05-10,2020-07-10,287096.822,245631.611
LAMR,2008-05-08,2013-11-06,12,2005-07-15,2020-07-10,284762.093,245234.813
ALKS,2011-11-03,2018-10-23,22,2005-07-15,2020-07-10,284006.143,273033.941
GLPI,2013-11-25,2019-11-01,21,2013-10-14,2020-07-10,280712.973,236959.331
ENR,2015-08-11,2019-08-07,13,2015-06-12,2020-07-10,277697.267,221035.95
SPXC,2010-05-05,2019-10-30,30,2005-07-15,2020-07-10,277114.525,233402.011
SC,2014-08-07,2019-10-31,21,2014-01-23,2020-07-10,274557.548,353786.72
PDCO,2008-03-06,2019-12-05,36,2005-07-15,2020-07-10,270959.799,255722.901
VVV,2017-02-13,2018-08-02,6,2016-09-23,2020-07-10,270899.919,304726.038
PD,2019-06-07,2019-12-06,3,2019-04-11,2020-07-10,266723.209,261628.659
LIVN,2015-11-06,2019-10-30,15,2015-10-19,2020-07-10,261583.905,205975.886
BYD,2010-10-27,2019-11-07,28,2005-07-15,2020-07-10,250887.397,336166.071
NBIX,2008-05-01,2019-04-29,20,2005-07-15,2020-07-10,246801.015,300476.608
WRB,2008-08-08,2019-11-07,31,2006-11-16,2020-07-10,246611.337,280230.633
PRSP,2018-08-14,2019-11-13,5,2018-05-24,2020-07-10,245644.627,355316.26
CARS,2017-06-20,2019-05-10,6,2017-05-18,2020-07-10,243551.608,436689.992
SLAB,2008-04-30,2019-10-23,35,2005-07-15,2020-07-10,243454.36,427489.001
CLGX,2009-05-01,2019-10-24,31,2005-07-18,2020-07-10,240944.417,213938.054
SONO,2018-09-11,2019-08-08,4,2018-08-02,2020-07-10,239303.334,242022.568
HLX,2008-05-02,2019-10-23,26,2006-03-06,2020-07-10,237432.101,494369.241
JHG,2017-08-08,2019-10-30,7,2017-05-30,2020-07-10,237086.781,230984.492
MUSA,2013-11-08,2019-10-31,19,2013-08-19,2020-07-10,235484.222,230004.423
AVYA,2018-03-02,2019-08-13,6,2017-12-19,2020-07-10,235030.554,229674.398
RDFN,2017-09-08,2019-11-06,8,2017-07-28,2020-07-10,234179.192,255842.423
CLNY,2017-05-10,2019-11-08,9,2017-01-11,2020-07-10,228036.893,353340.71
REZI,2018-11-13,2019-05-08,2,2018-10-15,2020-07-10,227985.631,312953.363
UFS,2008-05-09,2018-11-08,33,2007-03-07,2020-07-10,225032.67,290016.323
ITRI,2008-05-05,2019-11-04,22,2005-07-15,2020-07-10,223971.817,205784.305
BH,2018-05-04,2019-11-01,6,2010-04-09,2020-07-10,219384.302,309661.153
NYT,2011-05-05,2019-11-06,27,2005-07-15,2020-07-10,213205.698,238977.462
DNOW,2014-08-08,2018-11-01,13,2014-05-20,2020-07-10,211991.859,575599.376
FTDR,2018-11-06,2018-11-06,1,2018-09-13,2020-07-10,209327.303,216635.231
LTHM,2018-11-06,2019-11-06,4,2018-10-11,2020-07-10,207654.668,268533.744
NVAX,2008-05-12,2019-08-07,16,2005-07-15,2020-07-10,204490.723,245114.216
OUT,2014-05-08,2019-11-05,18,2014-03-28,2020-07-10,198460.404,335492.325
JBGS,2018-05-09,2019-11-05,6,2017-07-06,2020-07-10,194366.506,230668.77
IPI,2009-05-08,2011-11-03,8,2008-04-22,2020-07-10,192584.085,1108122.697
FICO,2008-02-08,2019-07-31,33,2005-07-15,2020-07-10,192565.612,223185.558
OSTK,2008-08-04,2019-11-12,36,2005-07-15,2020-07-10,186544.769,201924.611
BZH,2008-05-15,2019-08-01,34,2005-07-15,2020-07-10,184832.177,802815.966
MTH,2008-05-09,2019-10-28,22,2005-07-15,2020-07-10,183163.259,359764.924
KN,2014-05-12,2019-10-28,18,2014-02-14,2020-07-10,182876.484,388749.436
HOV,2015-06-09,2019-09-05,11,2005-07-15,2020-07-10,179173.074,608631.764
ADT,2018-05-09,2019-11-12,6,2018-01-19,2020-07-10,178762.728,330853.976
GOGO,2018-08-08,2018-08-08,1,2013-06-21,2020-07-10,173838.059,442343.055
MDC,2008-05-02,2019-10-30,11,2005-07-15,2020-07-10,173462.257,274298.654
TALO,2018-08-09,2019-05-08,3,2005-07-15,2020-07-10,166549.731,210818.389
JOE,2010-11-02,2019-10-30,25,2005-07-15,2020-07-10,166265.27,409027.066
JELD,2017-05-12,2019-11-06,9,2017-01-27,2020-07-10,158572.214,220070.754
MSTR,2008-08-05,2019-04-30,25,2005-07-15,2020-07-10,150943.58,303153.237
AVNS,2015-05-05,2019-11-05,12,2014-10-21,2020-07-10,149691.115,286258.471
ADTN,2009-11-04,2018-08-03,24,2005-07-15,2020-07-10,148278.402,239544.89
AROC,2008-05-08,2019-10-30,32,2007-08-21,2020-07-10,142024.248,374031.164
GSKY,2018-08-10,2019-11-14,5,2018-05-24,2020-07-10,139935.489,244404.013
LOCO,2014-09-04,2019-11-01,15,2014-07-25,2020-07-10,135451.469,709356.517
VNE,2018-07-27,2019-10-23,5,2018-06-11,2020-07-10,132624.518,216396.626
SANM,2008-01-31,2019-08-01,31,2005-07-15,2020-07-10,131278.641,286574.443
AMRX,2018-05-15,2019-11-06,6,2018-05-07,2020-07-10,129440.906,217862.664
RRGB,2008-05-23,2019-11-05,36,2005-07-15,2020-07-10,116217.301,219835.282
NWS,2014-11-06,2019-11-08,12,2013-06-19,2020-07-10,110796.463,211585.633
RBBN,2017-10-26,2019-10-31,7,2005-07-15,2020-07-10,91167.609,214551.665
BCRX,2008-05-09,2019-11-08,32,2005-07-15,2020-07-10,77873.606,326546.355
AVID,2008-11-07,2012-11-09,5,2005-07-15,2020-07-10,64440.427,359962.548
BOOM,2008-05-02,2019-10-24,36,2005-07-15,2020-07-10,60857.534,288116.624
GEC,2008-07-07,2019-11-12,28,2005-07-15,2020-07-10,57797.545,296606.982
NDLS,2013-08-09,2019-11-07,20,2013-06-28,2020-07-10,53155.224,203902.255
TCS,2014-07-11,2019-10-30,15,2013-11-01,2020-07-10,45422.231,208458.847
CPST,2008-02-11,2019-11-07,37,2005-07-15,2020-07-10,38968.234,202720.2
