Ticker:,The earliest date of MD&A,The latest date of MD&A,Number of MD&A,The earliest date of price,The latest date of price,Average daily trading volume in USD,Average daily trading volume in USD for 180 days starting 2 years ago
URBN,2014-06-09,2014-06-09,1,2005-07-15,2020-07-10,827347.547,788595.876
DISH,2008-08-04,2019-11-07,21,2005-07-18,2020-07-10,826421.22,915865.591
BEN,2011-05-03,2019-07-30,26,2005-07-15,2020-07-10,826042.942,895137.71
GWW,2008-07-31,2019-10-23,29,2005-07-15,2020-07-10,823963.781,1763613.332
CERN,2008-05-08,2019-10-25,36,2005-07-15,2020-07-10,819720.154,1332293.849
FTI,2017-05-04,2019-11-12,10,2005-07-15,2020-07-10,816197.472,884837.959
HOG,2009-04-30,2019-11-07,27,2005-07-15,2020-07-10,813590.891,930540.041
LNC,2016-05-05,2019-05-02,10,2005-07-15,2020-07-10,813096.788,821377.05
SWK,2010-05-13,2019-10-25,30,2005-07-15,2020-07-10,812314.091,1364467.347
EQT,2008-05-01,2019-10-31,36,2005-07-15,2020-07-10,808005.127,1647509.898
ROK,2009-05-07,2019-07-25,29,2005-07-15,2020-07-10,806017.464,1269334.892
MAS,2008-04-30,2014-10-28,10,2005-07-15,2020-07-10,803533.111,1125493.659
VRSN,2008-05-12,2019-10-25,25,2005-07-15,2020-07-10,803515.435,851961.294
AMTD,2008-05-08,2019-08-01,32,2005-07-15,2020-07-10,799312.285,1140733.1
CLX,2008-02-04,2019-10-31,31,2005-07-15,2020-07-10,796571.394,1124821.154
TXT,2008-10-29,2019-10-23,20,2005-07-15,2020-07-10,796207.584,799404.622
PAYX,2008-03-26,2019-12-20,32,2005-07-15,2020-07-10,793363.353,1127556.126
FIT,2015-08-07,2019-11-07,14,2015-06-18,2020-07-10,791478.536,314971.645
AVB,2008-05-09,2019-11-05,35,2005-07-15,2020-07-10,791372.309,877544.084
SBAC,2008-08-06,2019-05-08,30,2005-07-15,2020-07-10,790037.506,1378968.698
VMC,2008-08-06,2019-05-03,30,2005-07-15,2020-07-10,788982.963,1317179.511
EQR,2011-08-05,2019-05-06,7,2005-07-15,2020-07-10,784935.831,1026492.704
ED,2008-05-02,2019-11-04,36,2005-07-15,2020-07-10,783119.231,1117122.539
KMX,2011-10-07,2019-10-04,25,2005-07-15,2020-07-10,780846.94,1193307.06
HBAN,2008-05-09,2019-10-28,25,2005-07-15,2020-07-10,778522.492,1133035.51
DISCA,2009-05-04,2019-11-07,33,2005-07-15,2020-07-10,775619.957,1132984.537
DRI,2009-10-08,2019-10-01,31,2005-07-15,2020-07-10,771475.054,1134774.409
CIEN,2008-06-06,2019-09-11,32,2005-07-15,2020-07-10,764292.996,678326.471
FAST,2008-04-25,2019-10-16,37,2005-07-15,2020-07-10,763977.007,1100508.36
ETR,2011-05-09,2019-11-05,27,2005-07-15,2020-07-10,763464.696,828640.535
MXIM,2008-09-30,2019-10-30,28,2005-07-15,2020-07-10,761012.582,1062620.967
NTRS,2014-10-31,2019-10-28,16,2005-07-15,2020-07-10,760013.127,836537.432
CHRW,2015-08-10,2019-11-04,14,2005-07-15,2020-07-10,758493.559,1056903.23
CMA,2008-04-29,2019-10-30,35,2005-07-15,2020-07-10,754193.313,1009596.67
ANF,2008-12-05,2019-12-11,4,2005-07-15,2020-07-10,749575.959,504166.369
VICI,2017-11-13,2017-11-13,1,2017-10-18,2020-07-10,749405.958,451733.476
BXP,2008-05-12,2019-11-08,36,2005-07-15,2020-07-10,743828.525,698371.425
ETSY,2015-05-21,2019-10-31,15,2015-04-16,2020-07-10,743235.986,475901.359
MHK,2010-05-03,2012-05-04,6,2005-07-15,2020-07-10,735860.001,1368535.996
HTZ,2016-08-08,2016-11-07,2,2016-06-20,2020-07-10,735631.498,693592.204
HOLX,2008-08-07,2019-07-31,18,2005-07-15,2020-07-10,732103.881,940914.868
ARCH,2008-05-09,2019-10-22,32,2005-07-15,2020-07-10,730399.192,228284.341
PVH,2011-09-08,2019-12-09,26,2005-07-15,2020-07-10,727047.953,1010485.625
MLM,2008-05-06,2018-05-08,30,2005-07-15,2020-07-10,726649.586,1025920.815
VNO,2008-08-05,2019-10-28,35,2005-07-15,2020-07-10,721256.032,599856.564
TDOC,2015-08-12,2019-10-30,13,2015-07-01,2020-07-10,718431.499,346654.637
HSY,2012-05-09,2019-10-24,24,2005-07-15,2020-07-10,718171.868,921205.561
WPX,2012-11-01,2018-11-01,19,2011-12-12,2020-07-10,715889.367,912259.607
CREE,2010-01-20,2019-10-31,29,2005-07-15,2020-07-10,715459.247,536163.866
CNC,2009-04-28,2019-10-21,24,2005-07-15,2020-07-10,714003.873,1409117.215
LNG,2010-08-05,2019-10-31,29,2005-07-15,2020-07-10,713482.591,1042891.222
TAP,2008-05-06,2019-10-30,36,2005-07-15,2020-07-10,713402.723,1080022.323
IVZ,2009-05-08,2019-10-23,34,2007-05-24,2020-07-10,713217.005,808335.09
DVA,2011-08-04,2019-11-06,22,2005-07-15,2020-07-10,713024.32,1061899.222
ON,2009-05-07,2019-10-28,11,2005-07-15,2020-07-10,712950.868,1404223.691
HAS,2016-05-04,2019-10-22,12,2010-12-21,2020-07-10,711896.138,1072888.633
OAS,2010-08-13,2019-11-06,27,2010-06-17,2020-07-10,711396.696,929571.744
DGX,2008-04-24,2019-10-23,36,2005-07-15,2020-07-10,707857.359,914582.279
INFO,2016-10-07,2019-09-24,10,2014-06-19,2020-07-10,706696.261,856456.396
ATI,2008-05-09,2013-05-06,13,2005-07-15,2020-07-10,704577.743,454065.856
VTR,2010-07-30,2019-10-25,26,2005-07-15,2020-07-10,703199.643,969594.025
BG,2008-11-10,2019-10-30,28,2005-07-15,2020-07-10,701472.608,871775.352
ESTC,2018-12-12,2019-12-09,4,2018-10-05,2020-07-10,691897.206,430515.891
ENDP,2014-05-09,2019-11-04,18,2005-07-15,2020-07-10,691255.901,371786.197
JBLU,2008-04-25,2019-10-25,34,2005-07-15,2020-07-10,685405.637,957623.726
DLR,2014-11-07,2019-11-08,16,2005-07-15,2020-07-10,683162.809,1101523.252
DOV,2008-04-23,2019-10-17,34,2005-07-15,2020-07-10,682417.562,1005776.568
FL,2014-06-11,2019-12-11,9,2005-07-15,2020-07-10,679458.773,1406836.003
MTB,2008-05-07,2016-11-03,17,2005-07-15,2020-07-10,678573.653,839884.033
GPN,2009-04-06,2019-10-31,30,2005-07-15,2020-07-10,674796.51,976968.933
MUR,2010-11-05,2019-10-31,28,2005-07-15,2020-07-10,673774.168,540535.252
INVH,2017-05-12,2019-10-30,9,2017-02-01,2020-07-10,671718.301,510190.179
MTCH,2016-05-10,2019-11-07,12,2005-07-15,2020-07-10,671670.621,987099.506
HLF,2009-11-02,2017-11-02,21,2005-07-15,2020-07-10,670953.999,799019.955
TTWO,2008-03-11,2019-11-07,36,2005-07-15,2020-07-10,670527.664,2098129.845
LITE,2015-11-17,2019-10-31,13,2015-07-23,2020-07-10,670056.152,1092939.543
PTEN,2008-05-05,2019-04-29,28,2005-07-15,2020-07-10,669499.941,671257.783
LW,2017-01-10,2019-10-02,9,2016-11-01,2020-07-10,667757.833,480347.873
BMRN,2011-04-29,2019-11-04,18,2005-07-15,2020-07-10,658233.797,937231.914
BLUE,2014-08-12,2019-05-02,14,2013-06-19,2020-07-10,653677.283,1201403.318
CPB,2008-03-04,2019-06-05,26,2005-07-15,2020-07-10,653069.845,1175946.285
KBH,2008-04-09,2011-04-11,10,2005-07-15,2020-07-10,652815.083,606542.526
CBRE,2008-05-12,2009-11-09,6,2005-07-15,2020-07-10,647020.531,762365.783
GH,2018-11-19,2019-11-07,4,2018-10-04,2020-07-10,643191.977,522002.761
FTNT,2010-05-13,2019-10-31,22,2009-11-18,2020-07-10,639930.063,648943.497
BWA,2008-10-29,2012-10-31,12,2005-07-15,2020-07-10,636733.794,634706.716
ALGN,2009-05-07,2019-10-31,27,2005-07-15,2020-07-10,631935.56,2046278.312
EXPD,2011-08-05,2019-05-08,24,2005-07-15,2020-07-10,629717.717,611940.227
GRPN,2012-05-14,2019-11-04,25,2011-11-07,2020-07-10,627112.383,404940.063
EQH,2018-06-19,2019-11-07,6,2018-05-10,2020-07-10,625436.046,508641.774
HFC,2008-05-12,2019-10-31,36,2005-07-15,2020-07-10,625104.002,1060164.598
EMN,2008-04-29,2019-11-01,36,2005-07-15,2020-07-10,623410.412,896341.85
GDDY,2015-05-13,2019-11-06,15,2015-04-01,2020-07-10,618320.955,783208.797
LHX,2008-02-05,2019-10-31,36,2005-07-15,2020-07-10,618128.891,818447.606
INCY,2008-04-30,2019-10-29,36,2005-07-15,2020-07-10,612565.85,1460896.98
KEYS,2015-03-05,2019-08-30,15,2014-10-20,2020-07-10,610890.988,416889.901
GRMN,2018-08-01,2019-05-01,3,2005-07-15,2020-07-10,608039.747,487603.767
BLL,2011-08-09,2019-11-01,26,2005-07-15,2020-07-10,603391.841,995896.418
TDC,2011-05-06,2019-11-12,27,2007-09-12,2020-07-10,602904.029,413438.788
TSCO,2008-05-06,2019-11-07,31,2005-07-15,2020-07-10,600877.744,1084433.069
ICPT,2014-05-09,2019-11-05,17,2012-10-11,2020-07-10,599171.2,559801.97
AEO,2009-06-04,2019-06-06,11,2007-03-08,2020-07-10,596615.778,695474.327
STLD,2008-05-07,2019-10-31,22,2005-07-15,2020-07-10,596496.02,852646.439
WAT,2008-05-02,2019-10-30,24,2005-07-15,2020-07-10,595590.247,797784.968
VOYA,2013-05-23,2019-11-06,21,2013-05-02,2020-07-10,594597.109,818524.111
AES,2008-05-08,2019-11-05,36,2005-07-15,2020-07-10,594269.768,704891.106
COTY,2013-11-07,2019-11-06,19,2013-06-13,2020-07-10,592947.822,795955.393
VAR,2009-05-12,2019-08-07,21,2005-07-15,2020-07-10,590571.147,691436.231
AR,2014-05-07,2019-10-29,18,2013-10-10,2020-07-10,590303.623,600593.905
GME,2010-06-09,2011-06-08,4,2005-07-15,2020-07-10,588936.685,518246.633
DECK,2008-05-09,2019-11-08,35,2005-07-15,2020-07-10,587912.442,531606.527
CZR,2013-08-08,2014-11-14,5,2012-02-08,2020-07-10,581427.033,1200042.247
HP,2008-02-06,2019-07-26,30,2005-07-15,2020-07-10,580831.506,720699.087
HDS,2013-09-09,2019-12-09,20,2013-06-27,2020-07-10,578856.169,682456.481
CNP,2008-04-30,2011-08-04,9,2005-07-15,2020-07-10,576764.447,901083.839
USFD,2016-08-09,2019-08-06,9,2016-05-26,2020-07-10,575906.168,744606.929
NLY,2012-11-06,2019-10-31,21,2005-07-15,2020-07-10,575134.115,704937.251
IPG,2008-07-30,2019-10-25,35,2005-07-15,2020-07-10,573065.373,1004816.202
DKS,2008-05-22,2019-11-26,36,2005-07-15,2020-07-10,571644.578,903643.669
ARMK,2014-02-05,2019-08-06,18,2013-12-12,2020-07-10,571403.571,453555.003
RAD,2008-01-09,2019-10-03,36,2005-07-15,2020-07-10,569180.485,419353.36
OKE,2008-05-02,2019-10-30,31,2005-07-15,2020-07-10,569049.219,1166479.095
PAYC,2014-05-21,2018-05-03,10,2014-04-15,2020-07-10,568883.616,516662.698
ROP,2008-07-25,2019-11-01,9,2005-07-15,2020-07-10,564132.942,864372.735
JBHT,2008-04-30,2009-10-28,6,2005-07-15,2020-07-10,563259.423,856021.404
L,2009-11-02,2019-10-28,31,2005-07-15,2020-07-10,563193.238,543089.866
QRTEA,2008-05-08,2019-11-12,27,2006-05-04,2020-07-10,562173.667,683737.96
AXTA,2014-11-14,2019-10-25,16,2014-11-12,2020-07-10,561198.182,747950.322
TEX,2011-04-28,2017-11-01,21,2005-07-15,2020-07-10,554315.321,488001.564
LM,2012-08-07,2019-11-08,23,2005-07-15,2020-07-10,553614.674,274145.852
ATH,2017-05-11,2019-11-05,9,2016-12-09,2020-07-10,553068.677,607244.288
DPZ,2010-05-04,2019-10-08,23,2005-07-15,2020-07-10,550872.506,1571240.385
FIVE,2012-11-29,2019-12-05,22,2012-07-19,2020-07-10,547439.891,715972.427
TER,2008-05-08,2008-11-07,3,2005-07-15,2020-07-10,544979.839,963770.728
NDAQ,2009-05-08,2019-11-06,29,2005-07-15,2020-07-10,544589.84,634814.275
VRSK,2009-11-16,2019-04-30,11,2009-10-07,2020-07-10,536771.577,700006.35
WEC,2011-05-05,2019-11-06,16,2005-07-15,2020-07-10,535492.892,855203.254
EFX,2008-04-29,2019-10-24,25,2005-07-15,2020-07-10,531724.752,1458961.844
UHS,2015-11-06,2019-05-08,10,2005-07-15,2020-07-10,531083.328,814331.105
SJM,2008-03-11,2019-11-22,21,2005-07-15,2020-07-10,531061.218,1052201.662
DNR,2008-05-06,2019-11-07,36,2005-07-15,2020-07-10,529206.96,224195.747
CE,2011-07-22,2019-10-22,26,2005-07-15,2020-07-10,528912.276,619298.119
CIT,2011-05-10,2019-11-01,13,2009-12-11,2020-07-10,528609.29,458929.668
FLS,2008-04-28,2019-10-30,36,2005-07-15,2020-07-10,526305.48,523040.091
DTE,2008-05-12,2019-10-28,36,2005-07-15,2020-07-10,523185.214,894815.312
CDNS,2010-08-04,2019-10-21,29,2005-07-15,2020-07-10,523007.99,858270.659
CMS,2008-05-05,2019-10-24,35,2005-07-15,2020-07-10,516914.085,945679.71
RSG,2008-05-05,2017-04-27,21,2005-07-15,2020-07-10,516178.99,816423.47
HBI,2008-05-06,2019-10-31,36,2006-08-16,2020-07-10,515629.769,1133081.501
WSM,2008-06-11,2019-12-12,36,2005-07-15,2020-07-10,515535.403,791939.179
SLG,2008-05-12,2019-11-05,36,2005-07-15,2020-07-10,515236.883,708223.001
TDG,2011-02-08,2019-08-07,27,2006-03-15,2020-07-10,514437.4,914358.88
ES,2008-05-09,2019-11-07,27,2005-07-15,2020-07-10,514054.666,1019745.913
AMG,2008-05-07,2013-05-07,16,2005-07-15,2020-07-10,513564.208,504206.529
AVLR,2018-08-09,2019-11-05,5,2018-06-15,2020-07-10,510750.29,247805.909
KIM,2010-08-09,2019-10-25,15,2005-07-15,2020-07-10,504972.031,586535.488
HSIC,2008-08-05,2019-11-05,14,2005-07-15,2020-07-10,502655.81,1182844.838
CC,2015-08-06,2018-11-02,12,2015-06-19,2020-07-10,502581.365,761411.626
O,2010-10-28,2019-11-05,24,2005-07-15,2020-07-10,501841.854,788476.949
AGNC,2008-08-14,2019-11-05,35,2008-05-15,2020-07-10,497064.703,602053.818
AGCO,2008-05-09,2019-11-08,37,2005-07-15,2020-07-10,496725.77,402886.494
THC,2008-05-06,2019-11-04,36,2005-07-15,2020-07-10,493858.917,474940.726
IAA,2019-08-13,2019-11-25,3,2019-06-17,2020-07-10,493497.312,466818.661
TPX,2013-11-08,2019-11-07,19,2005-07-15,2020-07-10,489945.098,456264.239
FMC,2011-05-05,2019-07-31,26,2005-07-15,2020-07-10,488078.988,932509.752
OC,2009-10-28,2019-10-23,30,2006-09-20,2020-07-10,487390.793,814103.562
BJ,2018-09-07,2019-11-27,5,2018-06-28,2020-07-10,487310.37,417108.275
NUAN,2008-02-11,2019-08-09,35,2005-07-15,2020-07-10,485116.916,445674.1
UTHR,2008-05-01,2019-10-30,34,2005-07-15,2020-07-10,484744.961,388821.044
AEE,2013-05-10,2019-11-08,21,2005-07-15,2020-07-10,484470.837,708788.416
ALK,2008-05-07,2019-11-07,35,2005-07-15,2020-07-10,483427.864,1256548.357
DNKN,2012-08-03,2019-11-06,23,2011-07-27,2020-07-10,483098.887,566145.415
PWR,2016-11-08,2017-05-09,2,2005-07-15,2020-07-10,482941.929,430916.789
SM,2010-05-04,2019-11-01,29,2005-07-15,2020-07-10,481403.979,713931.342
JAZZ,2012-11-08,2019-11-05,22,2007-06-01,2020-07-10,478769.228,556039.598
COO,2008-03-07,2019-08-30,36,2005-07-15,2020-07-10,477397.194,824873.585
ACIA,2016-08-11,2019-10-30,10,2016-05-13,2020-07-10,471923.744,229545.179
UNM,2008-05-02,2019-10-30,30,2005-07-15,2020-07-10,469898.427,607539.514
ASH,2017-01-27,2018-08-01,6,2005-07-15,2020-07-10,460770.538,493282.03
IR,2017-08-04,2019-10-30,7,2017-05-12,2020-07-10,459523.316,279577.476
PK,2017-05-04,2019-05-06,7,2016-12-13,2020-07-10,459110.64,401020.577
RNG,2013-11-12,2019-11-12,19,2013-09-27,2020-07-10,458633.519,277742.569
CDAY,2018-05-24,2019-11-07,6,2018-04-26,2020-07-10,457998.981,238088.467
KNX,2012-11-07,2019-11-06,22,2010-12-16,2020-07-10,455978.676,859329.414
KKR,2010-08-12,2019-11-05,28,2010-07-15,2020-07-10,455650.912,563298.504
NI,2008-05-02,2019-10-30,35,2005-07-15,2020-07-10,455132.235,665243.324
PII,2008-05-05,2019-10-22,36,2005-07-15,2020-07-10,455111.775,699521.324
MTG,2008-08-11,2019-11-06,15,2005-07-15,2020-07-10,452101.62,412805.684
FOSL,2008-05-15,2019-11-07,23,2005-07-15,2020-07-10,452047.205,279261.098
AME,2008-05-02,2019-05-02,23,2005-07-15,2020-07-10,450562.516,767552.102
ALLE,2014-04-30,2019-10-24,18,2013-11-18,2020-07-10,450329.011,544790.675
DXCM,2008-05-08,2019-11-06,31,2005-07-15,2020-07-10,450309.884,805142.987
JBL,2008-07-08,2019-01-09,14,2005-07-15,2020-07-10,450120.127,554417.102
SABR,2016-04-28,2019-10-31,12,2014-04-17,2020-07-10,449082.337,421364.442
CLVS,2014-05-09,2019-05-07,8,2011-11-16,2020-07-10,445925.52,671917.384
CHD,2009-05-05,2009-05-05,1,2005-07-15,2020-07-10,444769.605,889689.886
CTAS,2008-01-04,2019-10-08,32,2005-07-15,2020-07-10,444616.48,707773.547
TGNA,2008-04-30,2019-11-07,29,2005-07-15,2020-07-10,443701.666,252068.57
MBI,2009-08-06,2019-11-05,25,2005-07-15,2020-07-10,439359.33,207479.917
SEE,2008-05-09,2019-11-08,36,2005-07-15,2020-07-10,437527.131,817761.08
CCK,2008-05-09,2019-10-31,31,2005-07-15,2020-07-10,435784.279,687073.046
PLNT,2015-11-13,2019-11-08,13,2015-08-06,2020-07-10,435545.447,329306.861
ESS,2008-05-08,2019-10-24,31,2005-07-15,2020-07-10,435543.164,655015.212
SRCL,2010-08-09,2018-11-01,22,2005-07-15,2020-07-10,435532.127,492781.595
LDOS,2013-12-10,2019-10-29,20,2013-09-30,2020-07-10,433213.22,441627.784
COMM,2013-11-06,2018-11-07,16,2013-10-25,2020-07-10,433087.255,517268.658
WH,2018-06-11,2019-10-29,6,2018-05-18,2020-07-10,432745.071,476661.974
CDK,2014-11-13,2019-11-05,16,2014-09-22,2020-07-10,432022.921,588670.87
SPR,2008-05-02,2019-10-31,36,2006-11-21,2020-07-10,431687.771,739718.846
BHF,2017-08-15,2019-11-05,8,2017-07-17,2020-07-10,431184.179,384279.281
BERY,2014-01-31,2019-07-31,14,2012-10-04,2020-07-10,430843.235,545845.577
HUN,2008-05-12,2019-10-25,36,2005-07-15,2020-07-10,430541.268,878720.366
MKC,2008-04-07,2019-10-01,15,2005-07-15,2020-07-10,430154.165,847637.82
SHAK,2015-05-15,2019-11-04,15,2015-01-30,2020-07-10,428215.695,337191.399
PBF,2013-05-09,2019-10-31,21,2012-12-13,2020-07-10,427708.021,612872.803
FOX,2019-05-10,2019-05-10,1,2019-03-13,2020-07-10,425952.28,478581.417
PNR,2008-04-22,2013-10-22,7,2005-07-15,2020-07-10,425809.218,621133.646
AWK,2010-08-04,2019-10-30,16,2008-04-23,2020-07-10,425607.845,657889.842
SFM,2013-08-23,2019-05-02,18,2013-08-01,2020-07-10,422805.756,407076.725
SIVB,2008-08-07,2019-11-12,35,2005-07-15,2020-07-10,421591.546,994887.468
TRGP,2011-05-06,2019-05-08,15,2010-12-07,2020-07-10,417683.641,665383.747
HRL,2008-03-07,2019-09-03,33,2005-07-15,2020-07-10,416195.686,788472.57
CLDR,2017-06-09,2019-12-06,9,2017-04-28,2020-07-10,415795.859,304610.03
SNPS,2008-03-11,2019-08-26,23,2005-07-15,2020-07-10,412964.338,699629.783
DISCK,2009-05-04,2019-11-07,33,2008-09-18,2020-07-10,412644.008,812520.275
SIG,2012-11-20,2019-12-05,22,2005-07-15,2020-07-10,412220.724,955065.175
MSCI,2017-08-04,2019-05-03,6,2007-11-15,2020-07-10,407912.666,773407.852
PSTG,2016-06-03,2019-12-09,12,2015-10-07,2020-07-10,406795.843,497829.897
GPC,2008-05-07,2019-10-18,15,2005-07-15,2020-07-10,406487.64,655797.465
TW,2019-05-20,2019-11-08,3,2019-04-04,2020-07-10,405266.501,371761.173
AYI,2008-01-08,2019-07-02,28,2005-07-15,2020-07-10,405145.384,913132.259
NWSA,2014-11-06,2019-11-08,12,2013-06-19,2020-07-10,404700.655,280274.993
ETRN,2018-12-03,2019-11-05,4,2018-10-31,2020-07-10,403733.151,367399.316
MTD,2008-04-25,2011-08-01,9,2005-07-15,2020-07-10,403670.781,721688.147
SKX,2008-05-09,2018-05-04,23,2005-07-15,2020-07-10,400813.348,898858.407
IDXX,2008-04-25,2019-10-31,10,2005-07-15,2020-07-10,399497.567,692837.897
OI,2008-05-09,2019-10-29,31,2005-07-18,2020-07-10,398883.844,274311.255
FND,2017-05-25,2019-11-01,9,2017-04-27,2020-07-10,397746.823,303086.952
IFF,2008-10-30,2019-11-04,26,2005-07-15,2020-07-10,397688.664,496601.693
NCR,2009-10-30,2011-07-29,3,2005-07-15,2020-07-10,397090.002,376472.978
BIG,2008-06-10,2019-12-11,32,2005-07-15,2020-07-10,397083.741,508342.214
WAB,2010-11-08,2010-11-08,1,2005-07-15,2020-07-10,395511.721,532826.825
RMD,2008-02-08,2019-10-24,36,2005-07-15,2020-07-10,393396.758,490514.327
RE,2009-05-11,2009-08-10,2,2005-07-15,2020-07-10,393298.451,686442.974
SERV,2014-08-05,2019-11-06,5,2014-06-26,2020-07-10,391067.097,309614.851
IONS,2008-05-12,2013-08-06,10,2005-07-15,2020-07-10,390970.316,487117.993
MAC,2008-05-19,2019-11-05,18,2005-07-15,2020-07-10,390559.572,704848.922
EPC,2011-04-29,2019-08-06,26,2005-07-15,2020-07-10,390063.94,355914.613
OLLI,2015-12-10,2019-12-12,4,2015-07-16,2020-07-10,389491.179,308926.993
LBRDK,2016-08-09,2019-11-01,11,2014-11-04,2020-07-10,388194.497,584260.242
MAN,2008-05-06,2019-05-09,15,2005-07-15,2020-07-10,388133.17,455914.566
RHI,2014-10-31,2019-11-12,16,2005-07-15,2020-07-10,386852.986,505318.741
POST,2012-03-08,2018-08-03,22,2012-01-27,2020-07-10,385052.869,546418.635
PBCT,2008-05-12,2018-11-09,33,2005-07-15,2020-07-10,384734.041,433759.313
SEDG,2015-05-08,2019-08-08,11,2015-03-26,2020-07-10,379704.045,359666.905
AN,2008-04-24,2019-10-29,34,2005-07-15,2020-07-10,379453.7,404600.966
HZNP,2011-09-02,2019-05-08,22,2011-07-28,2020-07-10,376583.903,269683.295
SAGE,2015-08-12,2015-11-06,2,2014-07-18,2020-07-10,373867.919,730305.565
OII,2008-05-07,2013-05-02,12,2005-07-15,2020-07-10,373109.652,268215.953
ARE,2008-05-12,2019-10-29,32,2005-07-15,2020-07-10,372828.381,631555.821
PLAY,2018-12-11,2019-09-10,3,2014-10-10,2020-07-10,372276.896,508047.639
ALV,2010-10-26,2019-04-26,23,2005-07-15,2020-07-10,368323.354,557701.466
CRUS,2008-01-30,2019-07-31,28,2005-07-15,2020-07-10,366875.507,432425.337
UDR,2008-08-11,2019-05-01,12,2005-07-15,2020-07-10,366820.226,446840.605
FHN,2009-05-07,2019-11-08,33,2005-07-15,2020-07-10,366668.257,606436.24
SPN,2008-05-09,2019-04-24,25,2005-07-15,2020-07-10,365319.77,315197.019
BRX,2013-12-03,2019-10-28,19,2013-10-30,2020-07-10,364618.289,457307.947
PKG,2008-05-09,2018-11-07,16,2005-07-15,2020-07-10,360920.257,665847.419
HII,2011-05-11,2019-11-07,27,2011-03-22,2020-07-10,359454.205,766401.271
TRN,2008-05-01,2019-10-24,37,2005-07-15,2020-07-10,359141.203,487906.456
LKQ,2008-11-07,2019-11-05,8,2005-07-15,2020-07-10,358310.75,588582.111
STOR,2016-05-06,2019-11-04,13,2014-11-18,2020-07-10,358101.817,314761.332
AIZ,2008-05-12,2019-11-07,36,2005-07-15,2020-07-10,356314.986,383762.769
EXAS,2008-05-09,2019-04-30,22,2005-07-15,2020-07-10,354911.556,1018469.313
DRE,2008-05-12,2019-11-01,30,2005-07-15,2020-07-10,354448.579,537126.834
PFPT,2012-05-24,2019-10-31,24,2012-04-20,2020-07-10,354045.875,478779.101
EAT,2008-01-31,2019-10-30,36,2005-07-15,2020-07-10,353105.714,485977.767
AVY,2008-05-08,2019-10-29,36,2005-07-15,2020-07-10,351826.028,571644.58
KBR,2008-05-02,2019-10-30,37,2006-11-16,2020-07-10,349957.857,325313.358
FRT,2012-05-07,2019-10-30,24,2005-07-15,2020-07-10,349516.199,388368.677
AMH,2014-05-14,2019-11-08,18,2013-08-01,2020-07-10,348985.216,372454.152
CRI,2012-04-27,2019-10-24,24,2005-07-15,2020-07-10,348677.567,655057.892
ANSS,2012-11-01,2019-11-07,22,2005-07-15,2020-07-10,346308.724,560647.285
PENN,2008-05-12,2019-11-07,34,2005-07-15,2020-07-10,346275.237,326309.71
CLB,2011-07-29,2019-10-24,26,2005-07-15,2020-07-10,344282.345,407851.137
NAV,2009-03-11,2019-09-03,33,2005-07-15,2020-07-10,344258.784,271995.383
NYCB,2008-05-12,2015-11-09,19,2005-07-15,2020-07-10,341401.179,470635.038
PTC,2008-02-07,2019-08-08,9,2005-07-15,2020-07-10,341022.298,591375.96
SNA,2008-04-24,2019-10-17,36,2005-07-15,2020-07-10,340169.225,786256.47
BOX,2015-06-12,2019-06-06,12,2015-01-23,2020-07-10,339082.922,620882.75
AMCX,2011-08-11,2019-07-31,25,2011-06-16,2020-07-10,338628.234,353755.989
RDN,2011-05-10,2019-11-12,27,2005-07-15,2020-07-10,338021.556,284088.898
OSK,2010-01-28,2019-08-01,31,2005-07-15,2020-07-10,336481.721,479782.989
PNW,2008-05-08,2019-11-07,32,2005-07-15,2020-07-10,336443.239,476138.856
EXP,2008-02-05,2019-01-29,28,2005-07-15,2020-07-10,335915.6,454921.295
CONE,2013-05-15,2019-10-31,21,2013-01-18,2020-07-10,335808.673,454598.906
ALSN,2017-08-01,2017-08-01,1,2012-03-15,2020-07-10,334231.702,539143.132
ALNY,2008-05-09,2019-10-31,34,2005-07-15,2020-07-10,331219.882,1047341.28
CDE,2008-05-12,2019-11-04,35,2005-07-18,2020-07-10,330118.529,212387.189
RJF,2008-02-11,2019-08-08,23,2005-07-15,2020-07-10,329924.038,562812.944
SYNA,2008-02-07,2018-11-08,27,2005-07-15,2020-07-10,329410.758,321423.956
FDS,2008-01-09,2011-07-11,5,2005-07-15,2020-07-10,328987.973,532192.045
RGLD,2008-02-08,2019-11-06,34,2005-07-15,2020-07-10,328024.234,320156.755
DDS,2008-06-10,2019-12-11,34,2005-07-15,2020-07-10,327478.196,352445.066
CPRT,2008-03-11,2019-11-25,28,2005-07-15,2020-07-10,327386.844,556503.083
JLL,2008-05-06,2019-11-06,29,2005-07-15,2020-07-10,326097.965,399918.533
DLPH,2018-05-09,2019-10-31,6,2017-11-21,2020-07-10,326033.471,517484.304
GPOR,2008-05-09,2019-11-01,36,2005-07-18,2020-07-10,324148.325,417613.908
RS,2008-05-12,2019-10-31,35,2005-07-15,2020-07-10,323427.323,312421.399
GL,2008-11-07,2019-11-12,28,2005-07-15,2020-07-10,322210.071,362827.448
FLIR,2008-05-09,2019-10-31,35,2005-07-15,2020-07-10,322135.025,406612.486
NRZ,2013-06-12,2019-10-28,21,2013-05-02,2020-07-10,322045.333,352723.898
WCC,2008-05-12,2019-11-01,34,2005-07-15,2020-07-10,321460.585,218704.61
