Ticker:,The earliest date of MD&A,The latest date of MD&A,Number of MD&A
DRIO,2014-05-14 16:20:00,2019-10-28 06:16:03,20
DRQ,2016-04-25 18:07:00,2019-10-24 19:03:01,12
DRRX,2008-05-08 15:21:03,2016-11-01 13:31:05,26
DRSV,2009-08-19 21:21:01,2009-08-19 21:21:01,1
DRUA,2008-05-01 16:51:05,2019-05-03 12:40:01,31
DRVD,2019-08-20 10:04:01,2019-11-19 16:49:05,3
DS,2008-05-12 14:41:02,2019-11-12 17:10:00,28
DSGT,2016-08-26 15:02:04,2019-11-14 16:06:04,11
DSKE,2017-05-10 14:34:01,2019-11-12 17:20:04,9
DSKX,2011-05-23 16:53:00,2017-05-15 13:15:02,20
DSNY,2010-01-14 15:19:02,2019-04-15 16:09:02,26
DSOX,2013-05-13 19:17:04,2018-05-15 16:15:04,4
DSPG,2008-08-11 10:00:00,2013-08-09 16:10:03,12
DSS,2011-05-16 15:46:02,2019-11-13 17:26:02,23
DSSI,2019-05-15 16:25:04,2019-11-14 09:24:02,3
DST,2008-05-08 20:26:02,2017-11-02 17:33:03,30
DT,2019-09-05 16:13:00,2019-11-01 17:47:04,2
DTE,2008-05-12 16:44:04,2019-10-28 10:31:00,36
DTEA,2015-06-16 17:15:02,2019-12-23 07:26:02,17
DTGI,2019-12-13 16:46:03,2019-12-13 16:46:03,1
DTIL,2019-08-14 16:31:03,2019-11-12 07:03:03,2
DTJ,2008-05-12 16:44:04,2019-10-28 10:31:00,36
DTLA-P,2013-11-25 16:50:05,2019-11-12 16:12:01,19
DTP,2008-05-12 16:44:04,2019-10-28 10:31:00,36
DTQ,2008-05-12 16:44:04,2019-10-28 10:31:00,36
DTRC,2009-08-19 12:35:02,2009-11-23 12:22:03,2
DTSS,2015-05-08 19:19:03,2019-11-14 17:27:05,16
DTST,2010-11-15 15:03:02,2019-11-19 14:34:03,18
DTW,2008-05-12 16:44:04,2019-10-28 10:31:00,36
DTY,2008-05-12 16:44:04,2019-10-28 10:31:00,36
DUK-PA,2008-05-09 17:14:04,2019-11-08 11:23:01,34
DUK,2008-05-09 17:14:04,2019-11-08 11:23:01,34
DUKB,2008-05-09 17:14:04,2019-11-08 11:23:01,34
DUKH,2008-05-09 17:14:04,2019-11-08 11:23:01,34
DUOT,2009-08-14 14:09:03,2019-11-14 16:41:01,16
DUUO,2016-11-08 13:08:03,2019-11-13 10:55:00,10
DVA,2011-08-04 17:22:00,2019-11-06 19:08:00,22
DVAX,2008-05-02 14:11:01,2013-11-08 17:27:01,14
DVCR,2008-05-07 16:09:03,2019-10-31 16:07:00,32
DVD,2011-11-10 16:07:02,2019-08-06 16:21:04,8
DVLP,2019-12-18 18:08:02,2019-12-18 18:08:02,1
DVN,2008-05-08 14:57:01,2019-11-06 12:02:05,29
DWSN,2009-11-09 13:37:03,2016-08-09 06:01:04,22
DX,2012-08-21 16:19:00,2016-11-07 16:52:02,12
DXC,2017-08-09 09:23:03,2019-11-12 08:59:03,8
DXCM,2008-05-08 16:15:04,2019-11-06 17:12:02,31
DXPE,2018-11-06 14:51:00,2019-11-07 14:53:01,4
DXYN,2008-05-02 15:56:04,2019-11-07 14:47:05,36
DY,2008-03-05 16:58:05,2019-11-27 08:23:05,30
DYN,2008-05-08 13:40:00,2017-11-01 17:28:04,29
DYNT,2015-11-13 16:53:00,2019-11-12 09:53:05,13
DYSL,2014-05-12 11:07:01,2019-08-13 17:02:02,17
DZSI,2008-08-05 16:48:01,2019-11-13 16:31:05,30
EA,2008-02-04 18:38:01,2008-11-06 14:35:00,3
EAB,2011-05-09 10:57:00,2019-11-05 12:04:01,27
EACO,2010-07-20 17:20:01,2011-07-15 16:28:02,4
EAE,2011-05-09 10:57:00,2019-11-05 12:04:01,27
EAF,2008-05-01 12:39:04,2019-11-07 16:51:05,32
EAGLU,2018-05-15 16:11:01,2019-11-14 13:38:00,6
EAGLW,2018-05-15 16:11:01,2019-11-14 13:38:00,6
EAI,2011-05-09 10:57:00,2019-11-05 12:04:01,27
EARN,2013-06-11 16:18:04,2019-11-06 17:30:04,21
EAST,2014-11-14 11:26:02,2019-11-14 16:16:04,16
EAT,2008-01-31 14:58:01,2019-10-30 16:15:05,36
EAWD,2019-05-09 10:54:02,2019-11-19 16:06:00,3
EB,2018-11-13 17:57:01,2019-11-07 16:17:02,4
EBAY,2010-10-20 21:48:02,2011-07-21 21:55:03,3
EBAYL,2010-10-20 21:48:02,2011-07-21 21:55:03,3
EBF,2008-06-30 15:58:03,2019-10-02 11:47:02,14
EBIX,2009-05-08 12:58:02,2019-11-12 17:25:01,34
EBMT,2011-02-11 12:00:04,2019-11-06 14:14:02,27
EBS,2011-05-06 10:33:01,2019-11-06 18:02:05,12
EBSB,2014-08-08 16:08:00,2019-05-10 16:12:00,13
EBTC,2008-05-12 15:37:05,2019-11-07 12:37:01,36
ECHO,2009-11-13 16:55:02,2019-10-24 19:47:04,32
ECIA,2008-08-14 11:47:02,2016-08-11 13:22:05,23
ECL,2008-05-02 09:48:02,2019-10-31 17:03:04,26
ECMT,2019-11-05 14:27:00,2019-11-05 14:27:00,1
ECOL,2019-11-04 13:38:00,2019-11-04 13:38:00,1
ECOLW,2019-11-04 13:38:00,2019-11-04 13:38:00,1
ECOM,2013-08-07 16:12:05,2019-11-07 06:54:02,20
ECOR,2018-11-14 13:01:05,2019-11-14 11:02:02,4
ECPG,2008-08-04 09:11:01,2019-11-06 17:19:00,31
ECPN,2010-08-20 11:52:05,2018-02-02 11:49:04,12
ECRP,2017-12-06 10:28:02,2017-12-06 10:28:02,1
ECT,2010-08-16 15:26:05,2018-11-09 14:17:05,25
ED,2008-05-02 11:50:03,2019-11-04 16:53:05,36
EDGE,2017-05-03 16:12:01,2019-11-07 06:31:04,9
EDGW,2011-05-13 15:07:05,2018-11-09 13:32:03,22
EDIT,2016-05-13 16:08:01,2019-11-12 16:04:01,12
EDNT,2019-05-15 16:58:03,2019-11-14 20:42:05,3
EDR,2008-05-06 17:24:02,2018-08-08 06:08:05,21
EDSA,2015-05-11 16:55:01,2017-02-06 17:25:01,6
EDTX,2019-10-31 17:01:02,2019-10-31 17:01:02,1
EDTXU,2019-10-31 17:01:02,2019-10-31 17:01:02,1
EDTXW,2019-10-31 17:01:02,2019-10-31 17:01:02,1
EDUC,2008-01-14 17:10:02,2019-10-15 09:03:02,26
EEFT,2008-05-09 16:55:05,2019-11-07 17:32:03,36
EFBI,2017-06-23 11:13:04,2019-11-08 12:34:01,4
EFC-PA,2013-05-08 10:14:04,2019-11-08 16:24:04,21
EFC,2013-05-08 10:14:04,2019-11-08 16:24:04,21
EFOI,2009-08-13 16:17:00,2019-11-13 08:28:02,25
EFSC,2011-08-03 11:00:02,2019-10-25 17:29:05,29
EFSH,2019-08-19 15:10:03,2019-08-19 15:10:03,1
EFSI,2013-05-15 10:14:02,2019-11-08 09:43:00,21
EFX,2008-04-29 17:17:03,2019-10-24 19:17:04,25
EGAN,2011-02-14 17:51:00,2019-11-12 16:07:01,22
EGBN,2008-08-11 12:52:03,2019-08-12 11:53:05,32
EGC,2017-05-22 16:12:03,2018-08-09 14:33:00,5
EGHT,2011-07-22 17:19:01,2019-10-31 06:10:05,26
EGL,2014-05-12 16:47:04,2017-11-02 17:16:02,8
EGLE,2008-11-07 17:30:05,2019-11-07 16:03:02,9
EGLT,2014-05-15 15:02:03,2019-11-14 16:27:04,18
EGN,2008-05-09 11:25:05,2018-11-08 10:52:01,34
EGOV,2013-08-01 16:02:01,2019-10-30 16:28:04,9
EGRN,2011-08-12 15:19:01,2013-11-14 12:12:05,8
EGRX,2014-05-15 11:24:05,2019-11-12 16:30:05,18
EGY,2014-05-07 16:44:04,2019-11-06 18:30:00,17
EHC,2009-05-06 09:32:00,2019-10-31 13:09:04,31
EHTH,2019-05-06 19:18:01,2019-11-07 17:48:04,3
EIDX,2018-08-07 16:36:05,2019-10-31 16:36:04,5
EIG,2008-11-07 17:00:01,2019-10-24 19:37:05,31
EIGI,2013-12-06 16:10:05,2019-11-04 16:25:02,19
EIGR,2014-05-13 16:15:05,2015-11-09 16:57:02,6
EIX,2008-05-08 09:32:00,2019-10-29 17:12:01,36
EKKH,2014-08-13 16:04:03,2015-08-14 14:07:02,2
EKSO,2014-05-13 16:22:00,2019-10-30 16:28:00,17
EL,2008-02-01 17:28:01,2019-10-31 12:46:02,34
ELA,2014-05-14 17:21:02,2019-11-13 16:02:03,11
ELAN,2018-11-08 12:50:01,2019-08-13 16:19:01,3
ELAT,2018-11-08 12:50:01,2019-08-13 16:19:01,3
ELC,2011-05-09 10:57:00,2019-11-05 12:04:01,27
ELECU,2015-07-15 15:48:01,2018-04-09 16:06:02,9
ELF,2016-11-10 20:03:05,2019-11-07 16:33:05,10
ELGX,2008-08-01 15:55:00,2009-05-08 15:20:04,3
ELJ,2011-05-09 10:57:00,2019-11-05 12:04:01,27
ELLI,2011-05-13 16:31:02,2018-11-08 16:10:04,26
ELMD,2010-11-12 10:19:00,2019-11-12 16:51:01,12
ELON,2014-05-08 17:47:04,2014-05-08 17:47:04,1
ELOX,2008-05-15 09:32:03,2019-11-06 16:06:04,16
ELRE,2008-11-14 16:13:05,2010-11-17 13:06:01,6
ELRN,2013-04-11 12:41:03,2017-07-25 11:08:01,16
ELS,2008-05-07 15:58:02,2019-10-29 21:09:03,29
ELSE,2008-05-14 17:22:01,2017-05-11 15:06:05,27
ELST,2012-11-19 07:14:01,2018-11-05 16:09:05,13
ELTP,2014-08-14 16:07:00,2019-11-12 17:01:01,18
ELU,2011-05-09 10:57:00,2019-11-05 12:04:01,27
ELVG,2019-03-14 17:21:01,2019-11-07 17:13:01,4
ELVT,2017-05-18 15:21:05,2019-11-08 13:19:04,9
ELY,2013-07-26 19:57:04,2019-11-06 16:44:01,20
EMAN,2010-05-18 11:42:00,2015-11-12 17:08:01,16
EMBI,2013-06-27 13:05:02,2016-05-13 16:51:00,7
EMCF,2011-05-13 15:12:03,2019-11-08 15:12:02,19
EME,2010-04-29 07:32:02,2011-10-27 07:44:03,5
EMGC,2013-01-15 20:29:01,2019-10-09 17:08:05,18
EMKR,2012-02-14 17:18:05,2019-08-09 16:28:04,13
EML,2018-08-06 16:54:00,2019-08-08 17:07:05,4
EMMA,2011-05-16 17:21:00,2019-11-13 17:06:00,19
EMMS,2008-01-09 06:04:00,2019-10-09 18:16:05,38
EMN,2008-04-29 17:25:00,2019-11-01 14:58:00,36
EMP,2011-05-09 10:57:00,2019-11-05 12:04:01,27
EMPM,2011-04-05 18:08:01,2019-10-21 21:52:02,5
EMR,2012-05-02 16:10:01,2019-08-07 11:10:04,23
EMRN,2009-08-19 16:49:01,2019-11-19 16:06:03,23
EMYB,2009-05-15 11:42:02,2019-11-08 14:18:01,27
ENB,2018-05-10 07:29:04,2019-11-08 07:09:00,6
ENBA,2018-05-10 07:29:04,2019-11-08 07:09:00,6
ENBL,2014-05-15 06:04:02,2019-11-06 06:38:02,18
ENBP,2008-08-13 12:02:04,2019-11-14 10:51:02,35
ENCC,2012-05-14 13:47:01,2016-03-04 11:43:02,4
ENCR,2012-11-13 14:48:00,2012-11-13 14:48:00,1
ENDP,2014-05-09 17:28:00,2019-11-04 17:21:05,18
ENDV,2016-08-12 06:15:05,2019-11-19 16:11:01,12
ENG,2010-11-05 13:52:02,2019-11-12 16:31:05,27
ENH,2008-08-08 16:03:01,2017-05-10 11:49:05,24
ENJ,2011-05-09 10:57:00,2019-11-05 12:04:01,27
ENLC,2014-05-09 15:55:00,2019-11-08 15:12:05,18
ENO,2011-05-09 10:57:00,2019-11-05 12:04:01,27
ENOB,2018-05-15 16:40:05,2019-11-13 17:22:05,5
ENOC,2008-05-13 16:36:03,2014-05-08 21:10:00,12
ENPH,2019-04-30 16:18:00,2019-10-29 19:41:04,3
ENR-PA,2015-08-11 11:50:04,2019-08-07 12:21:00,13
ENR,2015-08-11 11:50:04,2019-08-07 12:21:00,13
ENRT,2008-07-10 13:56:04,2019-07-05 13:51:02,28
ENSG,2008-05-07 16:37:04,2019-10-30 16:06:05,33
ENSV,2014-05-13 08:31:00,2019-11-13 17:11:05,9
ENT,2013-05-15 12:13:01,2019-11-08 17:03:04,23
ENTA,2015-05-08 16:16:03,2018-08-09 16:16:05,5
ENTG,2008-08-07 15:42:00,2019-10-24 15:06:05,33
ENTL,2015-05-08 16:20:05,2017-11-03 16:03:03,10
ENV,2013-08-08 20:16:00,2019-11-08 16:13:04,19
ENZ,2008-12-10 16:58:04,2019-12-10 16:36:05,31
ENZN,2008-05-09 11:58:01,2008-08-08 08:39:05,2
EOG,2010-08-05 17:11:00,2019-11-06 16:27:03,25
EOLS,2018-05-10 16:26:05,2019-11-04 16:05:02,6
EOSS,2016-01-08 17:06:03,2016-05-13 13:34:00,2
EPAC,2008-01-08 16:55:05,2019-06-28 18:32:04,36
EPAM,2012-05-09 17:24:03,2019-11-07 16:39:00,24
EPAY,2011-05-06 14:10:00,2019-11-08 16:20:00,20
EPC,2011-04-29 15:34:03,2019-08-06 17:08:00,26
EPD,2011-05-10 11:15:01,2019-11-07 17:51:05,25
EPM,2008-02-14 17:17:04,2019-11-08 15:00:04,36
EPR,2008-04-30 12:46:02,2019-10-30 09:22:03,35
EPRT,2018-11-05 09:01:05,2019-11-06 20:54:03,4
EPSN,2019-05-14 16:58:01,2019-11-13 17:06:03,3
EPXY,2011-05-17 19:57:02,2019-01-22 17:09:05,21
EPZM,2013-07-31 19:31:05,2017-08-07 07:01:05,9
EQBK,2015-12-23 11:05:02,2019-11-12 16:37:04,12
EQC-PD,2008-05-09 17:03:01,2019-10-30 16:17:02,35
EQC,2008-05-09 17:03:01,2019-10-30 16:17:02,35
EQFN,2015-06-29 17:14:00,2018-05-14 16:16:03,10
EQGP,2015-07-23 16:02:03,2018-10-25 16:20:05,11
EQH-PA,2018-06-19 17:44:01,2019-11-07 08:41:01,6
EQH,2018-06-19 17:44:01,2019-11-07 08:41:01,6
EQIX,2008-04-30 15:51:01,2019-11-01 16:20:01,31
EQM,2012-07-26 16:03:04,2019-11-05 16:28:03,23
EQR,2011-08-05 10:24:04,2019-05-06 16:13:03,7
EQS,2010-11-10 20:14:05,2019-11-13 16:17:00,25
EQT,2008-05-01 17:13:04,2019-10-31 16:16:04,36
EQUR,2013-07-30 21:25:05,2019-11-14 14:25:04,9
ERA,2013-05-14 19:40:00,2019-11-05 17:02:03,21
ERHE,2008-02-11 16:01:04,2012-05-10 16:20:03,10
ERI,2014-11-14 15:56:03,2016-11-09 14:53:04,7
ERIE,2008-04-30 17:09:01,2019-10-24 19:15:04,36
ERII,2008-08-13 16:33:05,2019-11-01 16:10:04,16
ERKH,2019-06-25 13:32:03,2019-11-13 12:17:05,3
ERLFF,2008-08-13 11:36:00,2008-08-13 11:36:00,1
ES,2008-05-09 17:16:01,2019-11-07 12:48:00,27
ESBA,2013-11-12 17:02:00,2019-10-31 10:31:01,19
ESCA,2014-08-25 06:06:01,2019-10-31 06:11:05,12
ESCC,2008-05-06 16:50:03,2019-11-12 11:20:04,13
ESCU,2009-02-09 16:36:01,2019-10-28 12:04:00,4
ESE,2019-08-09 11:29:00,2019-08-09 11:29:00,1
ESES,2008-11-12 19:30:00,2016-11-14 12:57:03,13
ESGR,2008-08-11 16:20:03,2019-11-06 17:51:02,20
ESGRO,2008-08-11 16:20:03,2019-11-06 17:51:02,20
ESI,2014-11-14 15:35:01,2019-08-02 16:18:05,15
ESMC,2008-02-14 16:39:00,2019-11-14 16:05:02,32
ESNT,2014-05-15 16:20:03,2019-11-08 16:37:00,18
ESOA,2016-02-11 11:42:00,2019-08-14 13:01:03,12
ESP,2012-02-14 15:38:03,2019-11-14 16:02:03,22
ESPH,2008-05-15 11:38:01,2017-11-20 17:18:05,19
ESPR,2013-08-12 07:02:02,2019-11-06 16:30:03,20
ESQ,2017-08-14 10:44:04,2019-11-08 15:40:03,5
ESRT,2013-11-12 16:47:04,2019-10-31 10:16:05,19
ESS,2008-05-08 13:21:05,2019-10-24 18:42:04,31
ESSI,2010-10-28 17:27:03,2019-09-23 16:46:02,12
ESTA,2018-08-14 17:11:04,2019-11-12 16:38:01,5
ESTC,2018-12-12 16:41:02,2019-12-09 17:23:04,4
ESTE,2008-11-14 11:48:02,2019-11-06 16:07:01,20
ESXB,2008-11-14 14:41:00,2019-11-08 13:26:01,24
ET,2008-01-09 16:19:01,2019-11-07 16:43:02,36
ETBI,2009-05-04 15:16:00,2018-08-17 14:09:01,13
ETFC,2008-05-09 16:06:04,2019-10-31 16:38:02,36
ETFM,2014-05-20 15:02:00,2019-11-19 17:04:00,20
ETH,2008-11-07 15:12:00,2012-05-03 11:35:02,12
ETI-P,2011-05-09 10:57:00,2019-11-05 12:04:01,27
ETM,2008-05-06 09:15:00,2018-05-09 16:49:02,16
ETNB,2019-12-18 16:31:03,2019-12-18 16:31:03,1
ETNI,2009-04-15 11:39:02,2019-04-29 11:14:05,6
ETON,2018-12-20 07:32:00,2019-11-14 16:29:05,4
ETP-PC,2017-08-09 14:58:04,2019-11-07 16:32:05,8
ETP-PD,2017-08-09 14:58:04,2019-11-07 16:32:05,8
ETP-PE,2017-08-09 14:58:04,2019-11-07 16:32:05,8
ETR,2011-05-09 10:57:00,2019-11-05 12:04:01,27
ETRN,2018-12-03 06:35:05,2019-11-05 16:22:01,4
ETST,2012-07-23 13:41:00,2019-11-18 06:16:01,13
ETSY,2015-05-21 18:51:05,2019-10-31 08:10:02,15
ETTX,2018-11-14 16:23:01,2019-11-14 08:01:02,4
EUFX,2012-05-10 16:42:01,2019-11-08 11:12:04,7
EUO,2012-05-10 16:42:01,2019-11-08 11:12:04,7
EV,2008-06-05 16:11:04,2019-06-05 15:39:00,24
EVA,2015-06-08 17:10:03,2019-10-30 19:29:03,15
EVBN,2008-05-14 11:16:01,2019-10-31 13:34:04,35
EVC,2012-11-02 15:58:01,2012-11-02 15:58:01,1
EVCC,2008-05-20 15:06:00,2008-11-14 15:32:05,3
EVER,2018-08-10 16:34:00,2019-11-07 16:51:03,5
EVFM,2015-05-14 08:39:00,2019-11-07 06:16:02,15
EVGI,2019-09-13 12:44:00,2019-12-13 15:32:05,2
EVH,2015-08-07 16:50:02,2019-11-05 17:10:05,14
EVI,2009-02-13 18:11:03,2016-11-14 09:10:01,16
EVIO,2019-09-30 14:00:02,2019-11-15 16:56:05,3
EVLO,2018-05-31 16:31:05,2019-11-05 16:10:02,6
EVOA,2011-05-12 17:00:03,2019-12-06 17:35:04,2
EVOK,2014-08-13 16:10:04,2019-11-07 08:41:01,17
EVOL,2008-08-06 17:08:05,2019-11-12 16:55:03,35
EVOP,2018-08-10 09:15:02,2019-11-07 16:36:02,5
EVR,2008-08-07 16:15:05,2019-10-31 16:44:00,28
EVRG,2018-08-08 17:11:00,2019-11-06 16:37:00,5
EVRI,2008-05-14 06:01:04,2019-08-06 16:17:02,35
EVTC,2013-05-15 14:13:05,2019-10-31 16:28:05,21
EW,2008-05-09 15:21:03,2019-10-25 16:08:05,36
EWBC,2009-08-10 16:10:02,2019-11-08 17:17:04,21
EWLL,2013-05-15 15:11:03,2019-11-14 06:22:01,23
EXA,2012-09-13 15:53:05,2013-06-05 15:49:02,3
EXAC,2009-11-05 13:06:01,2017-11-08 17:12:01,24
EXAS,2008-05-09 16:31:04,2019-04-30 16:32:00,22
EXC,2008-04-24 16:50:01,2017-11-02 11:12:04,26
EXDI,2015-08-05 18:29:01,2017-11-20 11:19:05,6
EXEL,2013-05-07 16:01:04,2019-10-30 16:14:02,21
EXEO,2016-04-05 13:00:01,2019-10-15 16:59:00,4
EXLS,2008-08-11 16:41:01,2019-10-30 09:03:03,14
EXNT,2008-11-13 12:19:02,2014-08-14 16:11:03,10
EXP,2008-02-05 17:27:03,2019-01-29 17:17:04,28
EXPD,2011-08-05 16:07:00,2019-05-08 12:35:02,24
EXPE,2008-05-01 18:08:01,2019-11-06 17:46:01,31
EXPI,2013-02-14 14:07:02,2019-11-06 16:45:02,7
EXPO,2009-08-05 14:21:02,2019-05-03 16:11:05,16
EXPR,2012-05-31 15:59:04,2019-12-11 12:16:03,24
EXR,2008-05-07 14:30:02,2014-08-07 08:09:05,21
EXTN,2015-12-03 11:39:03,2019-11-05 16:38:04,13
EXTR,2011-04-29 18:55:00,2019-05-10 16:36:05,21
EYE,2017-12-07 07:16:02,2019-11-07 07:14:00,7
EYEG,2015-05-15 17:28:05,2019-11-07 08:31:02,13
EYEN,2018-05-09 17:13:05,2019-11-13 16:24:01,6
EYES,2015-05-14 20:24:03,2019-11-14 16:31:03,7
EYPT,2011-05-11 14:42:04,2018-11-09 16:23:01,4
EZOO,2019-07-10 06:16:01,2019-11-13 17:30:02,3
EZPW,2008-02-04 17:51:04,2019-07-31 16:52:04,34
EZT,2011-05-09 10:57:00,2019-11-05 12:04:01,27
F-PB,2011-05-10 16:46:05,2019-10-23 18:35:00,27
F-PC,2011-05-10 16:46:05,2019-10-23 18:35:00,27
F,2011-05-10 16:46:05,2019-10-23 18:35:00,27
FAC,2008-02-11 08:59:02,2017-05-09 16:06:02,21
FALC,2008-05-09 17:21:03,2019-11-19 16:11:03,34
FANG,2012-11-15 20:17:01,2019-11-06 16:35:04,22
FARM,2009-11-09 16:49:03,2009-11-09 16:49:03,1
FARO,2008-11-03 13:43:01,2019-10-30 16:26:05,27
FAST,2008-04-25 15:29:01,2019-10-16 11:25:00,37
FAT,2017-12-04 16:06:05,2019-11-08 17:06:00,7
FATE,2013-11-13 16:10:04,2019-11-05 16:06:03,19
FB,2012-07-31 16:39:01,2019-10-30 21:00:03,3
FBC,2008-03-07 16:21:02,2019-11-04 17:27:03,27
FBIO,2013-11-01 17:07:02,2017-08-09 16:43:05,8
FBIOP,2013-11-01 17:07:02,2017-08-09 16:43:05,8
FBIZ,2012-04-27 16:59:00,2019-10-25 16:04:03,24
FBK,2017-08-10 13:36:05,2019-11-07 16:37:01,8
FBM,2017-05-09 18:11:04,2019-11-05 16:16:04,9
FBMS,2018-05-10 09:17:05,2019-11-08 15:38:00,6
FBNC,2008-08-11 13:39:02,2019-11-08 13:25:04,29
FBNK,2015-11-06 10:23:05,2018-08-07 12:34:03,8
FBP,2008-05-12 16:54:04,2019-05-10 11:50:00,34
FBRX,2017-08-09 17:16:02,2019-11-12 16:45:01,8
FBSS,2008-05-09 08:34:03,2019-11-01 13:06:05,20
FC,2008-04-10 16:58:02,2008-04-10 16:58:02,1
FCAA,2018-10-17 19:36:02,2019-11-13 12:34:00,4
FCAP,2008-05-14 09:47:04,2019-11-12 08:37:05,36
FCBC,2008-08-11 16:03:04,2019-11-08 13:48:02,19
FCBP,2018-06-11 19:31:05,2019-11-12 16:21:00,6
FCCO,2008-05-13 14:03:04,2019-11-07 15:32:04,34
FCCY,2009-11-13 15:43:05,2019-11-08 17:23:03,16
FCE-A,2016-05-05 16:21:00,2018-10-30 16:20:01,9
FCEL,2009-03-12 17:02:05,2019-06-17 17:19:05,7
FCF,2008-05-08 13:45:02,2019-11-07 18:54:05,37
FCFS,2012-10-26 15:21:01,2019-10-28 14:44:02,22
FCH,2008-05-08 15:43:02,2008-05-08 15:43:02,1
FCHS,2011-05-16 17:27:03,2018-11-07 17:28:02,16
FCIC,2008-08-05 10:41:00,2014-02-07 12:52:04,15
FCNCA,2008-08-06 16:30:02,2019-11-05 16:07:03,36
FCPT,2015-12-04 17:14:00,2019-10-30 17:33:02,13
FCUV,2014-08-08 11:32:03,2019-11-14 13:39:01,11
FCX,2008-05-12 17:02:02,2019-11-06 17:26:00,36
FDBC,2008-05-09 15:27:04,2019-11-06 11:58:05,27
FDEF,2008-08-11 15:51:04,2019-11-12 11:02:05,29
FDP,2012-05-01 13:48:01,2019-10-29 20:10:00,24
FDS,2008-01-09 15:19:00,2011-07-11 15:50:03,5
FDUS,2011-08-04 17:16:00,2018-08-02 16:06:01,18
FDUSG,2011-08-04 17:16:00,2018-08-02 16:06:01,18
FDUSL,2011-08-04 17:16:00,2018-08-02 16:06:01,18
FDUSZ,2011-08-04 17:16:00,2018-08-02 16:06:01,18
FDVXF,2016-08-22 17:18:02,2019-08-16 16:02:00,15
FDX,2008-03-20 15:42:03,2019-03-19 16:20:04,34
FE,2010-08-03 16:32:00,2019-11-04 06:39:01,29
FEIM,2008-09-15 16:45:05,2019-12-16 15:11:04,23
FELE,2011-05-12 14:25:05,2019-11-05 15:27:02,26
FELPQ,2014-08-12 19:41:02,2019-08-07 16:01:04,16
FENC,2008-08-13 15:56:00,2019-11-12 10:50:04,21
FEPI,2018-11-14 15:11:03,2019-05-15 11:45:02,2
FET,2012-05-03 18:38:01,2019-07-31 15:47:00,23
FEYE,2013-11-14 15:40:02,2019-11-01 16:12:00,19
FFBC,2008-05-09 17:07:04,2019-11-07 16:17:00,32
FFG,2008-05-08 16:53:01,2019-10-31 16:23:05,33
FFIC,2008-05-09 14:41:04,2019-11-06 15:56:05,36
FFIN,2008-07-25 14:21:01,2017-10-31 12:30:00,11
FFIV,2008-02-08 16:06:03,2012-08-07 15:43:01,13
FFNW,2013-05-09 16:51:03,2019-11-08 16:17:02,21
FG-WT,2016-07-01 16:01:04,2019-11-06 16:38:04,12
FG,2016-07-01 16:01:04,2019-11-06 16:38:04,12
FGBI,2011-05-16 16:08:04,2019-11-12 13:04:01,28
FGCO,2013-08-12 13:29:02,2019-08-12 08:24:03,17
FGEN,2015-05-12 07:15:05,2019-11-12 08:23:02,14
FGP,2008-03-07 09:22:01,2019-12-06 08:02:01,37
FHB,2016-09-09 15:41:04,2019-10-24 19:36:04,11
FHI,2008-04-29 13:35:00,2019-11-01 16:04:01,20
FHN,2009-05-07 12:16:05,2019-11-08 16:27:02,33
FHRT,2011-12-14 15:38:02,2018-09-28 12:15:01,12
FI,2013-09-18 12:35:00,2019-11-05 16:40:04,20
FIBK,2008-05-08 15:38:05,2019-11-06 14:01:03,36
FICO,2008-02-08 12:41:03,2019-07-31 16:32:03,33
FII,2008-04-29 13:35:00,2019-11-01 16:04:01,20
FIND,2015-04-24 17:12:00,2019-11-12 11:12:00,13
FIS,2008-05-08 20:44:02,2019-11-05 16:17:01,30
FISI,2008-05-06 14:52:04,2019-11-06 16:17:05,35
FISK,2013-11-12 17:02:00,2019-10-31 10:31:01,19
FISV,2008-05-09 14:09:05,2019-11-07 15:57:02,20
FIT,2015-08-07 17:27:03,2019-11-07 16:59:05,14
FITB,2008-05-09 17:01:00,2019-11-08 15:49:01,36
FITBI,2008-05-09 17:01:00,2019-11-08 15:49:01,36
FITBO,2008-05-09 17:01:00,2019-11-08 15:49:01,36
FITBP,2008-05-09 17:01:00,2019-11-08 15:49:01,36
FIVE,2012-11-29 21:00:04,2019-12-05 16:00:04,22
FIVN,2014-05-13 19:25:02,2019-11-05 16:39:05,18
FIX,2008-05-01 17:56:00,2019-10-24 19:15:02,35
FIXX,2018-05-14 16:02:02,2019-11-12 16:02:03,6
FIZZ,2008-03-06 16:32:01,2019-03-07 17:04:04,10
FKWL,2017-02-14 17:04:04,2019-11-14 10:26:05,9
FL,2014-06-11 16:42:03,2019-12-11 17:01:02,9
FLDM,2011-05-11 20:07:02,2019-11-07 18:29:00,25
FLES,2013-09-13 16:47:04,2013-09-20 16:41:01,3
FLEX,2008-02-07 20:13:04,2019-10-29 19:31:05,33
FLFG,2018-12-26 17:11:00,2019-05-20 16:24:01,2
FLGT,2016-11-14 16:08:00,2019-11-07 20:25:03,10
FLHID,2019-05-10 13:33:05,2019-11-06 14:09:00,3
FLIC,2008-08-08 10:09:03,2019-05-10 11:06:01,21
FLIR,2008-05-09 14:23:03,2019-10-31 16:29:04,35
FLL,2008-05-14 17:58:00,2019-11-12 14:35:00,20
FLLZ,2017-01-17 09:31:05,2018-07-09 08:20:00,6
